Date,Price,Open,High,Low,Vol.,Change %,log return,VOL_5D,VOL_5D_SD,VOL_20D,VOL_20D_SD,VOL2_5D,VOL2_5D_SD,VOL2_20D,VOL2_20D_SD,Vol2_5D_SD minus Vol_20D_SD,SPX_Price,SPX and HSI 比例,input1 動能差,input 5,SHComp_input 3 Price,SHComp_Vol.,SHComp_Change %,CNH input 2 Price,Change %,input 7 deviation,US10yT_input 4 Price,US10yT_Change %,label 1 N+1到N+5天短期(5D)vol of vol 的標準化平均減 N到N-4短期(5D)vol of vol 的標準化平均,label 2 第N+1到N+5天的平均短期(5D)波動性 減 第N天的短期(5D)波動性 大於或小於零,label 3 第N+1到N+5天的平均短期(5D)波動性 減 第N到N-4天的平均短期(5D)波動性 大於或小於零 (Ken)
2018/1/12,31412.54,31298.05,31412.54,31198.36,2.4,0.0094,0.0093439449,0.0504256212,0.0922349612,0.1005162209,-1.935511756,0.6932800363,0.1817184155,0.3419809394,1.341536859,-1.159818443,2767.56,11.35026522,-73.26106469,11.30376426,3428.94,17.41,0.0011,6.4601,-0.0049,0.0010504387,2.537,-0.0086,-0.6880229752,0.0623074953,0.0663356301
2018/1/15,31338.87,31702.56,31733.18,31265.25,2.75,-0.0023,-0.0023479961,0.067490779,1.40875331,0.0952230283,-1.864744606,0.3571114047,-1.629777129,0.371593474,1.621027121,-3.25080425,2786.24,11.24772812,285.6929542,11.30045969,3410.49,23.2,-0.0054,6.4305,-0.0046,-0.0053951995,2.55,0.0051,-0.6733452205,0.0519090021,0.0836001813
2018/1/16,31904.75,31423.62,31904.75,31423.62,3.19,0.0181,0.0178957214,0.1275040308,1.57075138,0.105686762,-1.271919026,0.7200639845,0.1075088476,0.3796326954,1.598024912,-1.490516065,2786.24,11.4508262,-565.88,11.33336998,3436.59,21.15,0.0077,6.4371,0.001,0.0076237247,2.552,0.0007,-0.6861598482,-0.0154753728,0.0557735445
2018/1/17,31983.41,31825.52,31983.41,31642.27,4.12,0.0025,0.0024624293,0.1267165312,0.9972178678,0.0890767957,-1.721279573,0.7920596305,0.5173308691,0.3990838091,1.685531325,-1.168200455,2776.42,11.51965841,-191.1071133,11.37845436,3444.67,26.1,0.0024,6.4322,-0.0008,0.0023484082,2.539,-0.005,-0.7975174643,-0.0209165721,0.0288396801
2018/1/18,32121.94,32148.45,32233.81,31869.7,3.86,0.0043,0.0043219549,0.1222305162,0.6314689662,0.0888529958,-1.547648212,0.5871724901,-0.2525642355,0.4065141428,1.610391168,-1.862955403,2802.56,11.46164221,162.5938708,11.40602403,3474.75,22,0.0087,6.4213,-0.0017,0.0086944251,2.587,0.0189,-0.3610356275,-0.0116616691,0.0116953514
2018/1/19,32254.89,32142.16,32254.89,31986,3,0.0041,0.0041303739,0.1197237255,0.2742124825,0.0885994184,-1.388539576,0.4046952051,-0.8806543603,0.4193641932,1.579471705,-2.460126065,2798.03,11.52771414,-184.8712392,11.44151382,3487.86,24.75,0.0038,6.4002,-0.0033,0.0037658336,2.624,0.0143,0.3476568068,0.0007653223,0.0077559313
2018/1/22,32393.41,32276.96,32417.23,32046.84,2.97,0.0043,0.0042853474,0.1008241021,-1.709328267,0.0861940862,-1.323971123,0.1725120735,-1.447031371,0.4302004691,1.516123049,-2.963154419,2810.3,11.52667331,2.925052519,11.49730286,3501.36,21.75,0.0039,6.4047,0.0007,0.0038630968,2.661,0.0141,0.871773504,0.0370133927,0.0184377136
2018/1/23,32930.7,32606.14,32930.7,32554.23,4.08,0.0166,0.0164503463,0.0906484152,-1.37888099,0.0950265258,-0.902938411,0.2461422239,-0.7683589353,0.4288593597,1.354898834,-2.123257769,2832.97,11.62409062,-275.9803161,11.53195574,3546.5,23.87,0.0129,6.3986,-0.001,0.0128097372,2.656,-0.0026,1.292018718,0.0627425626,0.0413623197
2018/1/24,32958.69,32907.23,33018.71,32728.51,4.02,0.0009,0.0008496057,0.0955730369,-0.7130832784,0.0963948066,-0.7684304518,0.2276695623,-0.5921760525,0.4211024318,1.164044157,-1.75622021,2839.13,11.60872873,43.61439821,11.5497698,3559.47,25.3,0.0037,6.3489,-0.0078,0.0036504557,2.617,-0.0147,1.371434974,0.0756311837,0.0654042614
2018/1/25,32654.45,32979.38,32998.05,32650.22,3.56,-0.0092,-0.0092738186,0.1460749558,1.564148209,0.1085715243,-0.2445246471,0.3603507644,0.8072593487,0.4055181599,0.9335335957,-0.1262742471,2837.54,11.50801398,285.7821213,11.55904416,3548.31,24.34,-0.0031,6.3295,-0.0031,-0.0031402236,2.648,0.0118,0.7353085579,0.0318356868,0.0673417956
2018/1/26,33154.12,32836.28,33223.58,32794.13,4.01,0.0153,0.015185852,0.1693247291,1.389990329,0.1137779711,0.0347007774,0.5577322303,1.600435036,0.3819642598,0.6569155924,0.9435194431,2839.25,11.67706965,-479.9912961,11.58891526,3558.13,22.27,0.0028,6.3258,-0.0006,0.0027636922,2.624,-0.0091,-0.057992478,-0.0013859426,0.0474497387
2018/1/29,32966.89,33335.48,33484.08,32897.04,3.72,-0.0056,-0.005663268,0.1875663367,1.144981736,0.1197076664,0.3720472625,0.6894615594,1.356297874,0.3556757194,0.3623391506,0.9939587233,2872.87,11.47524601,579.8130816,11.5786298,3523,23.6,-0.0099,6.338,0.0019,-0.0099222266,2.66,0.0137,-0.7825402977,-0.0308700994,0.0188587426
2018/1/30,32607.29,32751.72,32976.75,32501.35,3.28,-0.0109,-0.0109678415,0.16841583,0.4231083784,0.1186892332,0.4501979963,0.5637140473,0.4569993499,0.3200550767,-0.0243852834,0.4813846333,2853.53,11.42700094,137.6687422,11.53921186,3488.01,18.64,-0.0099,6.3298,-0.0013,-0.0099815263,2.699,0.0154,-0.7707564414,0.0290330197,0.044057872
2018/1/31,32887.27,32435.76,32933.98,32330.39,3.42,0.0086,0.0085497698,0.1846392511,0.8134951999,0.1198897311,0.6728428614,0.2621705666,-1.304601692,0.280817754,-0.4791683533,-0.8254333386,2822.43,11.65211183,-635.3597293,11.54788848,3480.83,20.73,-0.0021,6.2992,-0.0048,-0.0020606019,2.724,0.0093,-0.1229077668,0.0413115582,0.0547465887
2018/2/1,32642.09,32950.3,33048.04,32642.09,2.85,-0.0075,-0.0074830929,0.1796070664,0.1941930899,0.1259001933,1.292202323,0.1386758499,-1.313549148,0.2365927393,-1.050906855,-0.2626422928,2823.81,11.55959147,261.2599143,11.55820398,3446.98,26.05,-0.0097,6.291,-0.0013,-0.0097722857,2.712,-0.0044,0.7528074066,0.0816464389,0.0833428627
